domain	trial	decode_tok_s	accept_len	acc_ratio	ms_step	GB_step	expert_union
cuda	1	56.46	4.21	0.402	74.6	10.82	40.0
cuda	2	58.77	4.45	0.431	75.7	10.97	40.6
cuda	3	54.33	4.08	0.385	75.1	10.88	40.2
triton	1	81.83	6.42	0.678	78.5	11.38	42.1
triton	2	73.85	5.69	0.586	77.0	11.17	41.3
triton	3	75.10	5.86	0.608	78.1	11.32	41.8
algo	1	43.50	3.23	0.278	74.2	10.76	39.8
algo	2	50.54	3.81	0.351	75.4	10.92	40.4
algo	3	53.18	4.00	0.375	75.2	10.90	40.3
math	1	57.89	4.32	0.415	74.7	10.82	40.0
math	2	48.95	3.73	0.341	76.2	11.04	40.8
math	3	55.50	4.18	0.398	75.3	10.92	40.4
science	1	50.39	3.67	0.334	72.9	10.56	39.0
science	2	57.71	4.34	0.417	75.2	10.90	40.3
science	3	54.19	3.98	0.373	73.5	10.66	39.4
prose	1	36.90	2.86	0.232	77.4	11.22	41.5
prose	2	39.73	3.06	0.257	77.0	11.16	41.3
prose	3	36.83	2.83	0.229	76.9	11.15	41.2
